Дата продажи,Регион,Тип светильника,Количество проданных единиц,Цена за единицу,Общая стоимость,Тип продажи,Оценка товара,Способ получения
2024-10-05,Московская область,потолочные светильники,6,8761.22,52567.32,онлайн,5,курьер
2024-04-29,Московская область,настольные лампы,6,7574.7,45448.2,оффлайн,4,почта
2024-11-29,Москва,потолочные светильники,1,1699.34,1699.34,оффлайн,1,курьер
2024-02-21,Московская область,настольные лампы,3,4394.8,13184.4,онлайн,1,курьер
2024-05-15,Московская область,торшеры,7,6673.45,46714.15,оффлайн,5,курьер
2024-06-11,Московская область,торшеры,1,6365.86,6365.86,онлайн,3,самовывоз
2024-02-16,Московская область,настольные лампы,2,4714.95,9429.9,оффлайн,1,самовывоз
2024-06-15,Москва,настенные светильники,6,4060.99,24365.94,онлайн,2,почта
2024-07-29,Москва,люстры,3,1250.2,3750.6,оффлайн,5,почта
2024-05-03,Московская область,торшеры,3,2705.79,8117.37,оффлайн,4,курьер
2024-12-07,Москва,потолочные светильники,5,6937.3,34686.5,онлайн,1,курьер
2024-06-25,Московская область,потолочные светильники,5,4839.94,24199.7,оффлайн,2,курьер
2024-09-04,Москва,люстры,7,5933.27,41532.89,оффлайн,3,самовывоз
2024-12-03,Московская область,настенные светильники,1,5876.33,5876.33,онлайн,5,почта
2024-09-11,Московская область,люстры,10,8118.35,81183.5,онлайн,2,почта
2024-05-08,Москва,настольные лампы,1,3434.86,3434.86,оффлайн,1,почта
2024-07-05,Москва,настольные лампы,5,3603.83,18019.15,оффлайн,2,самовывоз
2024-03-08,Московская область,торшеры,9,9178.13,82603.17,онлайн,3,курьер
2024-05-31,Московская область,настольные лампы,8,9647.49,77179.92,онлайн,2,почта
2024-12-11,Московская область,торшеры,6,1357.88,8147.28,оффлайн,1,курьер
2024-10-01,Москва,потолочные светильники,6,6891.87,41351.22,оффлайн,5,курьер
2024-11-22,Московская область,настольные лампы,4,4979.03,19916.12,оффлайн,5,самовывоз
2024-11-27,Москва,потолочные светильники,5,6667.77,33338.85,онлайн,2,самовывоз
2024-01-20,Московская область,потолочные светильники,2,1423.32,2846.64,онлайн,4,курьер
2024-07-08,Московская область,торшеры,3,8911.43,26734.29,онлайн,4,почта
2024-07-27,Московская область,настольные лампы,6,2564.06,15384.36,оффлайн,2,курьер
2024-02-20,Московская область,торшеры,6,1075.23,6451.38,оффлайн,2,самовывоз
2024-08-20,Москва,люстры,10,9725.39,97253.9,онлайн,3,самовывоз
2024-03-05,Москва,настольные лампы,9,2468.0,22212.0,онлайн,2,курьер
2024-03-16,Москва,настенные светильники,3,9881.51,29644.53,оффлайн,2,самовывоз
2024-12-04,Москва,люстры,1,3903.3,3903.3,онлайн,5,курьер
2024-01-09,Москва,настенные светильники,1,1704.21,1704.21,оффлайн,5,самовывоз
2024-02-02,Московская область,потолочные светильники,6,5375.76,32254.56,онлайн,4,почта
2024-04-23,Москва,торшеры,5,4851.4,24257.0,онлайн,1,курьер
2024-07-24,Московская область,настольные лампы,8,7267.81,58142.48,оффлайн,1,самовывоз
2024-06-13,Москва,настольные лампы,3,3112.65,9337.95,оффлайн,4,почта
2024-09-28,Московская область,потолочные светильники,9,6251.55,56263.95,онлайн,1,почта
2024-11-29,Москва,потолочные светильники,8,8936.86,71494.88,оффлайн,3,курьер
2024-07-23,Московская область,настольные лампы,6,4554.26,27325.56,оффлайн,3,самовывоз
2024-12-17,Московская область,настольные лампы,2,8401.83,16803.66,онлайн,4,самовывоз
2024-07-09,Москва,торшеры,1,6071.42,6071.42,оффлайн,1,курьер
2024-06-30,Московская область,настольные лампы,5,6203.9,31019.5,оффлайн,1,почта
2024-09-16,Москва,люстры,8,2630.33,21042.64,онлайн,3,почта
2024-07-07,Москва,настенные светильники,10,2648.51,26485.1,оффлайн,5,почта
2024-11-10,Москва,торшеры,5,775.06,3875.3,оффлайн,3,курьер
2024-06-28,Москва,люстры,3,5880.05,17640.15,оффлайн,1,самовывоз
2024-11-20,Москва,настольные лампы,9,2543.76,22893.84,оффлайн,4,курьер
2024-03-21,Московская область,настенные светильники,6,7879.94,47279.64,онлайн,1,самовывоз
2024-03-21,Москва,настольные лампы,5,4709.57,23547.85,оффлайн,4,почта
2024-08-14,Московская область,настенные светильники,4,7671.96,30687.84,онлайн,3,курьер
2024-02-26,Московская область,торшеры,8,5505.87,44046.96,оффлайн,1,самовывоз
2024-07-21,Москва,настольные лампы,4,3363.48,13453.92,онлайн,2,курьер
2024-05-28,Московская область,настольные лампы,1,5225.16,5225.16,оффлайн,2,самовывоз
2024-07-13,Москва,торшеры,9,8416.86,75751.74,оффлайн,1,курьер
2024-01-22,Московская область,настольные лампы,8,9251.04,74008.32,оффлайн,5,курьер
2024-10-20,Московская область,потолочные светильники,5,1594.15,7970.75,онлайн,3,самовывоз
2024-11-12,Московская область,настенные светильники,2,4648.76,9297.52,онлайн,2,курьер
2024-10-28,Московская область,торшеры,2,4259.78,8519.56,оффлайн,3,самовывоз
2024-06-19,Москва,настольные лампы,9,6515.63,58640.67,онлайн,3,курьер
2024-11-26,Москва,люстры,2,1891.22,3782.44,онлайн,2,почта
2024-03-19,Москва,люстры,8,4907.55,39260.4,оффлайн,5,почта
2024-11-21,Московская область,настенные светильники,3,4677.75,14033.25,оффлайн,4,почта
2024-06-04,Московская область,торшеры,1,3843.45,3843.45,онлайн,3,курьер
2024-08-19,Москва,настольные лампы,6,8401.12,50406.72,онлайн,1,почта
2024-10-31,Московская область,потолочные светильники,10,5766.01,57660.1,онлайн,4,почта
2024-11-29,Москва,настенные светильники,10,5018.48,50184.8,онлайн,1,курьер
2024-02-22,Московская область,настольные лампы,9,6638.21,59743.89,онлайн,2,почта
2024-08-12,Московская область,торшеры,9,6293.15,56638.35,оффлайн,3,курьер
2024-07-17,Московская область,настенные светильники,10,997.47,9974.7,оффлайн,1,курьер
2024-02-18,Московская область,настенные светильники,5,7375.47,36877.35,онлайн,3,самовывоз
2024-10-25,Москва,настенные светильники,5,9693.12,48465.6,оффлайн,2,почта
2024-12-28,Москва,настенные светильники,9,4078.45,36706.05,оффлайн,2,почта
2024-12-25,Москва,потолочные светильники,9,3937.37,35436.33,оффлайн,3,самовывоз
2024-04-19,Московская область,потолочные светильники,4,2652.16,10608.64,онлайн,2,самовывоз
2024-05-31,Москва,торшеры,9,8433.64,75902.76,онлайн,3,почта
2024-03-08,Московская область,люстры,3,2218.04,6654.12,онлайн,4,самовывоз
2024-07-29,Московская область,люстры,8,6300.66,50405.28,оффлайн,2,почта
2024-05-02,Московская область,потолочные светильники,4,3994.49,15977.96,оффлайн,4,курьер
2024-07-14,Московская область,люстры,4,8111.96,32447.84,онлайн,3,самовывоз
2024-11-24,Московская область,настенные светильники,9,9375.79,84382.11,онлайн,3,самовывоз
2024-03-23,Московская область,потолочные светильники,9,1899.81,17098.29,оффлайн,1,самовывоз
2024-08-18,Московская область,настольные лампы,7,1005.94,7041.58,оффлайн,2,курьер
2024-02-11,Московская область,люстры,1,3527.51,3527.51,онлайн,3,самовывоз
2024-03-11,Москва,настенные светильники,8,7112.68,56901.44,онлайн,4,курьер
2024-11-11,Москва,настольные лампы,1,2931.28,2931.28,онлайн,5,почта
2024-11-07,Московская область,настольные лампы,5,2757.58,13787.9,онлайн,1,самовывоз
2024-08-02,Московская область,настольные лампы,2,8448.53,16897.06,оффлайн,5,почта
2024-01-09,Москва,люстры,5,4577.77,22888.85,оффлайн,2,почта
2024-08-01,Москва,настольные лампы,9,9759.22,87832.98,онлайн,5,почта
2024-09-16,Москва,потолочные светильники,8,913.58,7308.64,оффлайн,3,курьер
2024-01-09,Московская область,настольные лампы,6,2790.7,16744.2,онлайн,5,почта
2024-06-19,Москва,настольные лампы,6,5687.13,34122.78,онлайн,4,почта
2024-09-02,Москва,люстры,2,7302.43,14604.86,оффлайн,1,курьер
2024-04-13,Москва,люстры,1,3498.16,3498.16,оффлайн,5,курьер
2024-10-05,Московская область,настенные светильники,1,7656.26,7656.26,онлайн,3,курьер
2024-01-25,Московская область,настенные светильники,2,8093.75,16187.5,оффлайн,4,почта
2024-08-13,Московская область,настенные светильники,3,5213.93,15641.79,оффлайн,3,почта
2024-05-16,Москва,потолочные светильники,2,4590.77,9181.54,онлайн,5,курьер
2024-06-13,Москва,настольные лампы,6,6778.73,40672.38,оффлайн,4,почта
2024-08-06,Москва,потолочные светильники,6,4747.73,28486.38,оффлайн,5,курьер
2024-05-20,Москва,настольные лампы,7,3951.46,27660.22,онлайн,1,самовывоз
2024-11-07,Московская область,настольные лампы,3,1138.72,3416.16,оффлайн,3,курьер
2024-10-17,Москва,торшеры,3,6951.09,20853.27,оффлайн,3,курьер
2024-02-09,Москва,торшеры,6,4281.32,25687.92,оффлайн,2,самовывоз
2024-01-14,Москва,потолочные светильники,9,4176.38,37587.42,онлайн,3,курьер
2024-12-26,Московская область,люстры,10,3212.98,32129.8,оффлайн,2,самовывоз
2024-03-10,Москва,потолочные светильники,3,9037.45,27112.35,оффлайн,1,почта
2024-06-12,Московская область,настольные лампы,9,5650.63,50855.67,оффлайн,2,почта
2024-12-29,Москва,настенные светильники,9,2630.3,23672.7,онлайн,2,самовывоз
2024-09-09,Москва,настенные светильники,9,5936.64,53429.76,оффлайн,5,самовывоз
2024-11-09,Москва,настольные лампы,5,4282.52,21412.6,оффлайн,5,курьер
2024-07-28,Москва,люстры,6,6602.22,39613.32,оффлайн,4,почта
2024-09-21,Московская область,люстры,9,6578.04,59202.36,онлайн,2,курьер
2024-09-14,Москва,настольные лампы,9,1953.65,17582.85,онлайн,2,курьер
2024-12-29,Москва,настенные светильники,9,9001.8,81016.2,онлайн,3,самовывоз
2024-11-21,Московская область,люстры,5,6337.07,31685.35,онлайн,5,почта
2024-03-27,Москва,люстры,10,7346.01,73460.1,оффлайн,5,самовывоз
2024-01-15,Москва,настольные лампы,10,3014.23,30142.3,онлайн,5,курьер
2024-11-12,Москва,потолочные светильники,9,3251.88,29266.92,оффлайн,4,самовывоз
2024-12-16,Московская область,настенные светильники,8,1193.24,9545.92,онлайн,2,курьер
2024-07-31,Московская область,потолочные светильники,4,3731.83,14927.32,онлайн,3,почта
2024-06-12,Московская область,потолочные светильники,3,7726.32,23178.96,онлайн,3,самовывоз
2024-08-26,Москва,настенные светильники,8,2855.23,22841.84,онлайн,1,курьер
2024-07-15,Московская область,люстры,3,8228.04,24684.12,оффлайн,2,самовывоз
2024-09-12,Московская область,потолочные светильники,5,5225.02,26125.1,онлайн,4,почта
2024-08-22,Москва,люстры,10,3852.5,38525.0,онлайн,3,курьер
2024-11-01,Московская область,настенные светильники,9,577.69,5199.21,онлайн,4,самовывоз
2024-05-15,Московская область,потолочные светильники,6,929.8,5578.8,онлайн,5,почта
2024-04-09,Московская область,торшеры,5,1198.55,5992.75,оффлайн,5,курьер
2024-11-15,Москва,люстры,2,4242.09,8484.18,оффлайн,5,курьер
2024-03-14,Москва,торшеры,9,4313.18,38818.62,онлайн,1,самовывоз
2024-03-11,Московская область,потолочные светильники,9,4841.39,43572.51,онлайн,3,почта
2024-06-12,Москва,потолочные светильники,10,7523.53,75235.3,оффлайн,5,курьер
2024-09-16,Московская область,торшеры,5,5011.48,25057.4,онлайн,3,курьер
2024-12-10,Москва,потолочные светильники,10,3422.94,34229.4,онлайн,5,курьер
2024-05-15,Москва,настольные лампы,10,5064.26,50642.6,оффлайн,2,почта
2024-05-04,Москва,торшеры,2,2312.45,4624.9,оффлайн,3,курьер
2024-03-18,Московская область,люстры,7,5267.29,36871.03,оффлайн,1,почта
2024-03-11,Москва,торшеры,6,9982.17,59893.02,оффлайн,5,курьер
2024-06-09,Москва,потолочные светильники,9,3752.11,33768.99,оффлайн,3,почта
2024-09-04,Москва,люстры,5,5801.82,29009.1,онлайн,3,курьер
2024-12-26,Москва,потолочные светильники,6,5058.13,30348.78,оффлайн,3,самовывоз
2024-10-20,Московская область,потолочные светильники,6,9568.78,57412.68,онлайн,3,самовывоз
2024-05-27,Москва,настенные светильники,8,6731.73,53853.84,оффлайн,2,самовывоз
2024-10-02,Московская область,торшеры,5,1804.09,9020.45,онлайн,2,самовывоз
2024-12-08,Москва,люстры,1,1451.88,1451.88,оффлайн,4,самовывоз
2024-12-14,Москва,настольные лампы,9,9790.15,88111.35,онлайн,4,почта
2024-08-31,Московская область,люстры,5,3551.09,17755.45,онлайн,1,почта
2024-10-20,Москва,торшеры,1,9175.68,9175.68,онлайн,4,самовывоз
2024-01-19,Московская область,потолочные светильники,3,9397.78,28193.34,оффлайн,1,самовывоз
2024-06-01,Москва,настенные светильники,5,4816.32,24081.6,оффлайн,2,почта
2024-08-27,Московская область,люстры,2,3641.5,7283.0,оффлайн,3,почта
2024-04-05,Москва,настенные светильники,5,5893.92,29469.6,онлайн,2,почта
2024-11-23,Московская область,потолочные светильники,9,3615.3,32537.7,оффлайн,1,самовывоз
2024-03-12,Московская область,настенные светильники,4,564.89,2259.56,оффлайн,2,курьер
2024-05-16,Московская область,настенные светильники,10,7367.38,73673.8,онлайн,3,почта
2024-07-03,Москва,настольные лампы,2,4921.25,9842.5,онлайн,4,почта
2024-09-14,Московская область,настольные лампы,5,3991.67,19958.35,онлайн,2,самовывоз
2024-09-01,Москва,потолочные светильники,10,4049.44,40494.4,оффлайн,5,почта
2024-04-21,Москва,торшеры,2,5492.31,10984.62,оффлайн,1,почта
2024-02-27,Москва,торшеры,9,2420.49,21784.41,онлайн,2,курьер
2024-09-23,Московская область,настольные лампы,4,7310.72,29242.88,оффлайн,1,почта
2024-08-16,Москва,потолочные светильники,3,5375.85,16127.55,оффлайн,5,самовывоз
2024-10-13,Московская область,настенные светильники,1,4261.51,4261.51,онлайн,2,почта
2024-02-07,Москва,потолочные светильники,6,7153.66,42921.96,онлайн,1,курьер
2024-01-17,Московская область,потолочные светильники,3,7805.23,23415.69,оффлайн,3,курьер
2024-08-17,Московская область,потолочные светильники,2,6985.94,13971.88,онлайн,3,самовывоз
2024-04-01,Московская область,торшеры,3,7414.65,22243.95,онлайн,1,самовывоз
2024-06-01,Московская область,торшеры,7,5553.37,38873.59,онлайн,2,курьер
2024-06-26,Москва,настенные светильники,4,9405.4,37621.6,онлайн,1,почта
2024-08-02,Москва,люстры,4,1139.26,4557.04,онлайн,4,почта
2024-12-10,Москва,люстры,1,4321.52,4321.52,онлайн,5,самовывоз
2024-01-29,Москва,торшеры,5,2724.53,13622.65,оффлайн,5,почта
2024-12-10,Московская область,люстры,5,8824.45,44122.25,онлайн,4,курьер
2024-05-20,Москва,торшеры,10,8857.28,88572.8,онлайн,4,почта
2024-09-10,Москва,настенные светильники,7,7965.14,55755.98,оффлайн,4,курьер
2024-03-17,Московская область,потолочные светильники,3,7666.95,23000.85,оффлайн,2,самовывоз
2024-06-02,Москва,потолочные светильники,1,5842.67,5842.67,оффлайн,5,почта
2024-03-09,Московская область,люстры,5,2431.7,12158.5,онлайн,4,курьер
2024-02-17,Москва,настольные лампы,5,4083.1,20415.5,онлайн,1,самовывоз
2024-10-27,Москва,потолочные светильники,4,8760.0,35040.0,оффлайн,3,самовывоз
2024-04-18,Москва,настольные лампы,8,9187.19,73497.52,онлайн,4,самовывоз
2024-10-09,Московская область,настенные светильники,7,4929.38,34505.66,оффлайн,3,курьер
2024-07-03,Московская область,потолочные светильники,2,8126.76,16253.52,оффлайн,3,самовывоз
2024-07-08,Московская область,потолочные светильники,1,5843.98,5843.98,онлайн,2,самовывоз
2024-05-13,Московская область,настенные светильники,3,2363.82,7091.46,онлайн,4,почта
2024-05-05,Московская область,торшеры,6,2944.6,17667.6,оффлайн,4,курьер
2024-03-27,Московская область,люстры,3,7342.98,22028.94,оффлайн,2,почта
2024-11-24,Москва,торшеры,1,8471.15,8471.15,онлайн,1,самовывоз
2024-07-30,Москва,люстры,2,7218.11,14436.22,онлайн,2,почта
2024-08-21,Московская область,настольные лампы,10,6558.42,65584.2,оффлайн,4,самовывоз
2024-01-04,Московская область,настольные лампы,1,5529.47,5529.47,оффлайн,5,курьер
2024-01-09,Московская область,люстры,2,9221.46,18442.92,онлайн,2,самовывоз
2024-11-13,Московская область,настенные светильники,5,8051.9,40259.5,онлайн,3,курьер
2024-08-23,Москва,люстры,5,6998.4,34992.0,онлайн,1,самовывоз
2024-07-26,Московская область,потолочные светильники,9,5022.05,45198.45,онлайн,2,самовывоз
2024-09-12,Московская область,настенные светильники,10,9784.63,97846.3,онлайн,5,самовывоз
2024-04-27,Москва,торшеры,8,3075.4,24603.2,онлайн,3,почта
2024-10-15,Москва,люстры,6,648.75,3892.5,онлайн,5,самовывоз
2024-12-30,Московская область,настольные лампы,5,2043.28,10216.4,онлайн,5,курьер
2024-12-12,Московская область,потолочные светильники,3,8009.73,24029.19,онлайн,5,почта
2024-06-26,Москва,настольные лампы,7,2705.37,18937.59,онлайн,3,почта
2024-11-10,Московская область,настенные светильники,1,6524.17,6524.17,оффлайн,4,самовывоз
2024-07-01,Московская область,потолочные светильники,3,6957.1,20871.3,оффлайн,1,почта
2024-05-31,Москва,настольные лампы,2,3045.73,6091.46,оффлайн,2,почта
2024-07-18,Московская область,настенные светильники,2,1369.44,2738.88,оффлайн,4,курьер
2024-05-18,Москва,люстры,2,2280.22,4560.44,оффлайн,5,почта
2024-09-19,Московская область,настольные лампы,1,1351.38,1351.38,онлайн,5,почта
2024-06-15,Московская область,настольные лампы,5,4431.2,22156.0,онлайн,5,самовывоз
2024-10-19,Москва,потолочные светильники,3,1818.98,5456.94,оффлайн,3,курьер
2024-03-15,Москва,люстры,7,3121.64,21851.48,оффлайн,4,самовывоз
2024-07-03,Московская область,люстры,8,6141.16,49129.28,онлайн,4,самовывоз
2024-03-10,Московская область,настольные лампы,7,3656.06,25592.42,оффлайн,3,курьер
